date,product_id,quantity_sold,total_sales
29-02-2024 13:24,8312,2,346.59
28-02-2024 12:47,6816,2,234.4
28-02-2024 10:13,6609,1,102.92
27-02-2024 13:48,6175,1,197.74
27-02-2024 12:30,6093,6,422.82
26-02-2024 13:27,6459,6,1418.68
26-02-2024 13:15,6175,2,378.52
25-02-2024 14:20,6459,1,277.24
25-02-2024 09:25,6190,1,201.14
24-02-2024 12:58,6175,1,193.2
23-02-2024 19:20,6609,1,101.95
22-02-2024 12:00,6609,1,108.09
22-02-2024 00:18,7277,2,107.23
21-02-2024 15:13,6950,20,159.8
20-02-2024 22:07,23774,2,152.17
20-02-2024 22:07,6609,1,152.17
20-02-2024 17:15,6816,1,125.92
20-02-2024 15:58,6816,1,106.95
20-02-2024 09:39,6816,1,106.97
19-02-2024 19:19,6021,2,71.92
19-02-2024 18:50,6816,1,107.92
19-02-2024 09:22,6175,2,378.7
16-02-2024 16:40,6021,2,73.92
15-02-2024 11:35,6816,1,125.92
15-02-2024 08:55,31772,1,169.87
14-02-2024 13:24,6609,2,193.11
14-02-2024 10:59,6018,1,76.9
13-02-2024 12:20,31772,13,2026.64
13-02-2024 08:26,5931,1,323.37
12-02-2024 19:40,23774,1,36.95
12-02-2024 16:31,6803,1,165.92
12-02-2024 15:28,6021,1,41.47
10-02-2024 16:11,6190,1,203.38
10-02-2024 08:31,6459,1,282.19
09-02-2024 14:58,6609,1,102.92
09-02-2024 14:30,6018,2,231.08
09-02-2024 11:27,6175,6,1075.9
08-02-2024 15:10,6609,1,112.13
08-02-2024 14:30,5931,1,297.17
08-02-2024 13:03,6459,1,247.05
08-02-2024 12:13,6687,3,425.97
08-02-2024 11:24,6021,10,256.82
07-02-2024 16:10,6175,1,202.42
07-02-2024 10:03,6175,2,981.52
07-02-2024 10:03,6185,2,981.52
06-02-2024 13:47,6021,2,65.95
06-02-2024 13:30,6190,1,203.2
06-02-2024 13:18,26681,1,239.14
06-02-2024 11:15,6459,1,247.17
05-02-2024 18:22,6190,8,2273.5
05-02-2024 18:22,6175,2,2273.5
05-02-2024 18:22,6175,2,2273.5
05-02-2024 14:38,6816,3,342.76
01-02-2024 12:12,6175,1,191.35
30-01-2024 19:41,6816,1,122.71
29-01-2024 15:05,5931,2,577.24
25-01-2024 10:00,6609,2,187.08
25-01-2024 09:06,5931,1,297.17
23-01-2024 14:49,6190,1,207.74
23-01-2024 12:52,6021,6,194.82
23-01-2024 10:59,6459,2,582.26
23-01-2024 09:17,6459,4,2568.8
23-01-2024 08:47,6175,1,191.35
22-01-2024 13:58,6609,1,109.75
22-01-2024 11:42,6021,26,719.82
19-01-2024 14:03,6021,10,303.52
19-01-2024 12:50,6816,1,107.87
19-01-2024 12:05,6190,1,201.35
18-01-2024 14:03,6021,1,42.42
18-01-2024 11:33,6572,1,267.05
17-01-2024 21:32,6021,5,152.05
17-01-2024 14:06,6816,1,125.92
16-01-2024 13:30,6025,1,157.95
15-01-2024 22:04,23774,3,77.15
14-01-2024 19:52,6609,1,102.92
12-01-2024 13:16,6021,6,176.9
12-01-2024 09:54,6740,1,137.13
10-01-2024 19:05,6021,2,65.95
10-01-2024 12:37,6591,3,828.04
10-01-2024 12:15,6816,1,107.92
09-01-2024 10:33,6816,1,107.87
09-01-2024 08:24,6609,1,114.33
08-01-2024 13:58,23774,1,36.97
08-01-2024 09:07,6816,3,315.17
05-01-2024 17:03,6190,1,202.38
05-01-2024 15:11,6175,2,681.14
05-01-2024 15:11,6185,1,681.14
05-01-2024 13:36,6816,1,305.51
05-01-2024 13:36,6190,1,305.51
05-01-2024 08:42,6803,1,165.13
04-01-2024 17:48,6175,1,191.35
01-01-2024 11:28,6459,1,248.76
31-12-2023 11:51,6175,1,193.2
29-12-2023 13:19,23774,1,37.92
27-12-2023 21:53,6609,1,111.97
26-12-2023 10:05,6816,2,196.94
